Handle,Command,Title,Body HTML,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Metafield: title_tag [string],Metafield: description_tag [string],Template Suffix,Metafield: custom.belongs_to [single_line_text_field],Metafield: custom.bottom_description [multi_line_text_field]
amazfit-bip,Merge,Amazfit Bip,,any condition,Tag,Equals,Amazfit Bip,Amazfit Bip Remme | Gigantisk Udvalg,Stort Sortiment af Amazfit Bip Urremme. Hurtig Levering. Bedste udvalg og høj service. Find din nye rem i dag.,parent-collection,Amazfit,
amazfit-bip,Merge,,,,Tag,Equals,Amazfit Bip 1,,,,,
amazfit-bip,Merge,,,,Tag,Equals,Amazfit Bip 3,,,,,
amazfit-bip,Merge,,,,Tag,Equals,Amazfit Bip 3 Pro,,,,,
amazfit-bip,Merge,,,,Tag,Equals,Amazfit Bip Lite,,,,,
amazfit-bip,Merge,,,,Tag,Equals,Amazfit Bip S,,,,,
amazfit-bip,Merge,,,,Tag,Equals,Amazfit Bip U,,,,,
amazfit-gtr,Merge,Amazfit GTR,,any condition,Tag,Equals,Amazfit GTR,Amazfit GTR Urremme | Gigantisk Udvalg af Remme til Amazfit GTR,"Alle slags Amazfit GTR Urremme. Danmarks Største Udvalg. Gratis Levering ved køb over 199,-",parent-collection,Amazfit,
amazfit-gtr,Merge,,,,Tag,Equals,Amazfit GTR 2,,,,,
amazfit-gtr,Merge,,,,Tag,Equals,Amazfit GTR 2e,,,,,
amazfit-gtr,Merge,,,,Tag,Equals,Amazfit GTR 3,,,,,
amazfit-gtr,Merge,,,,Tag,Equals,Amazfit GTR 3 Pro,,,,,
amazfit-gtr,Merge,,,,Tag,Equals,Amazfit GTR 42mm,,,,,
amazfit-gtr,Merge,,,,Tag,Equals,Amazfit GTR 47mm,,,,,
amazfit-gtr,Merge,,,,Tag,Equals,Amazfit GTR 2 eSIM,,,,,
amazfit-gts,Merge,Amazfit GTS,,any condition,Tag,Equals,Amazfit GTS,Amazfit GTS Urremme | Bedste Udvalg,Er det på tide at udskifte din Amazfit GTS rem? Her kan du købe en nye til få penge. Vi sender inden kl. 15,parent-collection,Amazfit,
amazfit-gts,Merge,,,,Tag,Equals,Amazfit GTS 1,,,,,
amazfit-gts,Merge,,,,Tag,Equals,Amazfit GTS 2,,,,,
amazfit-gts,Merge,,,,Tag,Equals,Amazfit GTS 2 Mini,,,,,
amazfit-gts,Merge,,,,Tag,Equals,Amazfit GTS 2e,,,,,
amazfit-gts,Merge,,,,Tag,Equals,Amazfit GTS 3,,,,,
amazfit-stratos,Merge,Amazfit Stratos,,any condition,Tag,Equals,Amazfit Stratos,Amazfit Stratos Urremme | Bedste Sortiment af Urremme til Amazfit Stratos,"Alle slags Amazfit Stratos Urremme. Danmarks Største Udvalg. Gratis Levering ved køb over 199,-",parent-collection,Amazfit,
amazfit-stratos,Merge,,,,Tag,Equals,Amazfit Stratos 1,,,,,
amazfit-stratos,Merge,,,,Tag,Equals,Amazfit Stratos 2 \ 2s,,,,,
amazfit-stratos,Merge,,,,Tag,Equals,Amazfit Stratos 3,,,,,
amazfit-t-rex,Merge,Amazfit T-Rex,,any condition,Tag,Equals,Amazfit T-Rex,Amazfit T-Rex Remme | Køb en Erstatningsrem til Amazfit T-Rex Her,"Kæmpe Udvalg af Amazfit T-Rex Urremme. Køb for 199,- og vi betaler Fragten. Hurtigt Service. Danmarks Største Udvalg af Remme.",parent-collection,Amazfit,
amazfit-t-rex,Merge,,,,Tag,Equals,Amazfit T-Rex 1,,,,,
